group,label,n,reps,median_ops_s,ci_lo_ops_s,ci_hi_ops_s,best_ops_s,rel_spread_pct
decomp,"Set.add() loop          [JS baseline]",1000000,30,4268294.68003863,4255221.258098981,4281323.19674193,4354769.407034217,1.1755060193645928
decomp,"add() loop      [N crossings]",1000000,30,2956682.5893189535,2948320.1930204025,2964366.844232766,2994573.0012304764,0.6296867205110657
decomp,"addAll(string[]) [1 crossing]",1000000,30,4767551.43344737,4193656.3229568433,4776112.404621111,4790343.801250092,0.44670799868181565
decomp,"addInts(Uint32)  [1 crossing, zero-copy]",1000000,30,54081996.95163356,53886489.66735493,54300701.04854191,55294455.13839207,0.884743758451657
decomp,"addHashes(u64)   [1 crossing, no hash]",1000000,30,62263999.289977744,62186426.97597363,62418533.3941083,63008180.66713692,0.34151969727743436
kernel,"addHashes  [SBBF, memory-bound]",1000000,30,62306692.186968125,62161265.21339877,62387030.85313682,62798169.6343093,0.37787744362146913
kernel,"hasHashes  [SBBF, memory-bound]",1000000,30,69134114.5739665,69089842.95820504,69261875.47172642,69607388.5737105,0.30743321281643543
kernel,"addInts    [SBBF, +native hash]",1000000,30,53922906.83323838,53817384.80813974,54148445.43490152,54801381.9812508,0.6175316638675719
kernel,"addHashes  [classic, control]",1000000,30,29762441.57495015,29741612.798436947,29785249.95928333,29862978.501223695,0.1645605367168096
kernel,"unionInPlace [OR words]",329040,30,1026398334.9794161,1000904612.0716262,1057412096.082232,1092767687.234106,5.4380375758785835
ingest,"ingestFile      [sync fread]",1000000,30,34743778.92978607,34624923.70639318,34810107.018743694,35101252.370563075,0.4513224485941451
ingest,"ingestFileAsync [libuv worker]",1000000,30,33026359.30091984,32731400.853422582,33460543.68683005,34634704.65290242,3.0662868633004403
ingest,"ingestFileMmap  [mmap]",1000000,30,32041819.8322128,31836211.786257613,32394500.984622777,33298790.278258342,2.9022206987406856
ingest,"createIngestStream [pipe]",1000000,30,23361481.20947867,22883381.863959186,24043124.27774696,25926198.53510237,5.814433782728024
datadep,"classic hasHashes [100% present]",1000000,30,31338052.163721062,31306774.07593836,31370214.103905126,31421136.200225033,0.20494762847411752
datadep,"classic hasHashes [100% absent]",1000000,30,26334780.121228535,26308333.830341607,26349428.751333565,26398780.29187442,0.14574517968219575
